Frame                           Rhelio  Delta  alpha  Amass Filter Exptime MJD    TmagCorr  TmagErr  TmagFinalErr
cpt1m012-fa06-20190806-0175-e91 5.0326 4.0569 3.521 1.741 rp 154 58702.1576063 18.65030 0.024 0.037
cpt1m012-fa06-20190806-0176-e91 5.0326 4.0569 3.520 1.768 rp 154 58702.1596977 18.68340 0.024 0.041
lsc1m005-fa15-20190806-0123-e91 5.0326 4.0567 3.515 1.104 rp 154 58702.1910862 18.57370 0.012 0.047
lsc1m005-fa15-20190806-0124-e91 5.0326 4.0567 3.514 1.099 rp 154 58702.1931843 18.56020 0.012 0.037
lsc1m005-fa15-20190806-0125-e91 5.0326 4.0567 3.514 1.095 rp 154 58702.1952939 18.57470 0.013 0.035
lsc1m005-fa15-20190806-0149-e91 5.0326 4.0565 3.507 1.045 rp 154 58702.2295012 18.53245 0.012 0.046
lsc1m005-fa15-20190806-0150-e91 5.0326 4.0565 3.506 1.043 rp 154 58702.2315992 18.50475 0.012 0.050
lsc1m005-fa15-20190806-0151-e91 5.0326 4.0565 3.506 1.042 rp 154 58702.2336972 18.50340 0.012 0.049
lsc1m005-fa15-20190806-0155-e91 5.0326 4.0565 3.504 1.037 rp 154 58702.2449993 18.51850 0.012 0.034
lsc1m005-fa15-20190806-0156-e91 5.0326 4.0565 3.503 1.037 rp 155 58702.2470974 18.52190 0.012 0.037
lsc1m005-fa15-20190806-0157-e91 5.0326 4.0564 3.503 1.036 rp 155 58702.2491967 18.48710 0.011 0.032
coj1m011-fa12-20190807-0120-e91 5.0322 4.0541 3.409 1.148 rp 154 58702.7138385 18.55690 0.020 0.044
coj1m011-fa12-20190807-0121-e91 5.0322 4.0541 3.409 1.155 rp 154 58702.7159503 18.52300 0.024 0.049
coj1m011-fa12-20190807-0122-e91 5.0322 4.0541 3.408 1.162 rp 154 58702.7180503 18.55370 0.025 0.049
coj1m011-fa12-20190807-0147-e91 5.0322 4.0538 3.396 1.503 rp 154 58702.7780185 18.56460 0.017 0.038
coj1m011-fa12-20190807-0148-e91 5.0322 4.0538 3.396 1.523 rp 154 58702.7801189 18.55230 0.017 0.034
coj1m011-fa12-20190807-0149-e91 5.0322 4.0538 3.395 1.543 rp 154 58702.7822191 18.57800 0.017 0.038
lsc1m004-fa03-20190807-0049-e91 5.0318 4.0512 3.290 1.099 rp 154 58703.3065449 18.51440 0.015 0.044
lsc1m004-fa03-20190807-0069-e91 5.0318 4.0509 3.277 1.349 rp 154 58703.3674147 18.65660 0.015 0.039
lsc1m004-fa03-20190807-0070-e91 5.0318 4.0509 3.277 1.363 rp 154 58703.3695242 18.62785 0.015 0.046
lsc1m004-fa03-20190807-0071-e91 5.0318 4.0509 3.276 1.377 rp 154 58703.3716223 18.67405 0.015 0.041
elp1m008-fa05-20190807-0082-e91 5.0318 4.0509 3.275 1.487 rp 154 58703.3816303 18.73550 0.023 0.082
elp1m008-fa05-20190807-0083-e91 5.0318 4.0509 3.274 1.494 rp 155 58703.3837402 18.73310 0.023 0.080
elp1m008-fa05-20190807-0084-e91 5.0318 4.0509 3.274 1.500 rp 154 58703.3858393 18.73740 0.024 0.090
elp1m006-fa07-20190807-0137-e91 5.0317 4.0507 3.268 1.646 rp 155 58703.4161551 18.77660 0.055 0.139
coj1m011-fa12-20190808-0124-e91 5.0316 4.0499 3.233 1.081 rp 154 58703.5897862 18.68970 0.017 0.027
coj1m011-fa12-20190808-0125-e91 5.0316 4.0499 3.233 1.078 rp 154 58703.5918981 18.65810 0.016 0.030
coj1m011-fa12-20190808-0126-e91 5.0316 4.0499 3.232 1.074 rp 154 58703.5939983 18.67490 0.017 0.030
coj1m011-fa12-20190808-0143-e91 5.0316 4.0497 3.224 1.042 rp  47 58703.6356555 18.63710 0.030 0.048
coj1m011-fa12-20190808-0185-e91 5.0315 4.0489 3.191 1.741 rp 154 58703.7967548 18.62085 0.022 0.044
coj1m011-fa12-20190808-0186-e91 5.0315 4.0489 3.190 1.775 rp 155 58703.7992030 18.57330 0.021 0.041
coj1m011-fa12-20190808-0187-e91 5.0315 4.0489 3.190 1.807 rp 154 58703.8014426 18.56190 0.024 0.045
cpt1m013-fa14-20190808-0077-e91 5.0312 4.0473 3.118 1.803 rp 155 58704.1562348 18.46670 0.018 0.103
cpt1m013-fa14-20190808-0078-e91 5.0312 4.0473 3.118 1.834 rp 155 58704.1583332 18.50330 0.019 0.114
cpt1m013-fa14-20190808-0079-e91 5.0312 4.0473 3.117 1.866 rp 155 58704.1604428 18.50090 0.018 0.110
lsc1m005-fa15-20190808-0101-e91 5.0312 4.0471 3.112 1.097 rp 154 58704.1879632 18.49810 0.015 0.029
lsc1m005-fa15-20190808-0102-e91 5.0312 4.0471 3.112 1.092 rp 154 58704.1900615 18.50120 0.015 0.026
lsc1m005-fa15-20190808-0103-e91 5.0312 4.0471 3.111 1.088 rp 155 58704.1921639 18.48500 0.015 0.025
lsc1m004-fa03-20190808-0202-e91 5.0311 4.0468 3.099 1.038 rp 155 58704.2553714 18.52650 0.016 0.029
elp1m008-fa05-20190808-0053-e91 5.0311 4.0466 3.090 1.488 rp 154 58704.2959635 18.61740 0.024 0.062
elp1m008-fa05-20190808-0054-e91 5.0311 4.0466 3.090 1.482 rp 154 58704.2980617 18.63515 0.024 0.056
elp1m008-fa05-20190808-0055-e91 5.0311 4.0466 3.090 1.476 rp 154 58704.3001481 18.66070 0.025 0.054
lsc1m005-fa15-20190826-0107-e91 5.0182 4.0125 1.258 1.094 rp 160 58722.1314724 18.60085 0.014 0.027
lsc1m005-fa15-20190826-0108-e91 5.0182 4.0125 1.258 1.090 rp 159 58722.1336289 18.61465 0.013 0.028
lsc1m005-fa15-20190826-0109-e91 5.0182 4.0125 1.259 1.085 rp 159 58722.1357965 18.63600 0.014 0.026
lsc1m004-fa03-20190826-0193-e91 5.0181 4.0127 1.292 1.576 rp 159 58722.3377858 18.24685 0.013 0.028
lsc1m004-fa03-20190826-0194-e91 5.0181 4.0127 1.292 1.599 rp 159 58722.3399424 18.21730 0.013 0.030
lsc1m004-fa03-20190826-0195-e91 5.0181 4.0127 1.292 1.623 rp 159 58722.3421100 18.22460 0.014 0.029
elp1m008-fa05-20190826-0197-e91 5.0181 4.0127 1.299 1.843 rp 159 58722.3779027 18.23565 0.014 0.026
elp1m008-fa05-20190826-0198-e91 5.0181 4.0127 1.299 1.865 rp 159 58722.3800587 18.23305 0.013 0.026
elp1m008-fa05-20190826-0199-e91 5.0181 4.0127 1.299 1.888 rp 159 58722.3822032 18.26005 0.014 0.027
coj1m011-fa12-20190827-0070-e91 5.0180 4.0127 1.303 1.845 rp 160 58722.4089763 18.31900 0.015 0.028
coj1m011-fa12-20190827-0071-e91 5.0180 4.0127 1.303 1.813 rp 159 58722.4111344 18.35585 0.017 0.033
coj1m011-fa12-20190827-0072-e91 5.0180 4.0127 1.303 1.782 rp 159 58722.4133030 18.32070 0.015 0.034
cpt1m013-fa14-20190827-0075-e91 5.0178 4.0131 1.364 1.675 rp 160 58722.7768356 18.32725 0.033 0.081
cpt1m013-fa14-20190827-0076-e91 5.0178 4.0131 1.364 1.650 rp 160 58722.7789803 18.31490 0.024 0.057
cpt1m013-fa14-20190827-0077-e91 5.0178 4.0131 1.365 1.626 rp 160 58722.7811304 18.37650 0.024 0.065
cpt1m012-fa06-20190828-0077-e91 5.0171 4.0141 1.540 1.588 rp 159 58723.7814777 18.28710 0.016 0.043
cpt1m012-fa06-20190828-0078-e91 5.0171 4.0141 1.541 1.566 rp 160 58723.7836463 18.32910 0.015 0.036
cpt1m012-fa06-20190828-0079-e91 5.0171 4.0141 1.541 1.545 rp 159 58723.7858024 18.26035 0.014 0.033
cpt1m012-fa06-20190828-0084-e91 5.0170 4.0142 1.552 1.174 rp 160 58723.8472877 18.32485 0.013 0.027
cpt1m012-fa06-20190828-0085-e91 5.0170 4.0142 1.553 1.167 rp 159 58723.8494435 18.30585 0.013 0.026
cpt1m012-fa06-20190828-0086-e91 5.0170 4.0142 1.553 1.159 rp 160 58723.8516113 18.32960 0.013 0.024
cpt1m012-fa06-20190828-0088-e91 5.0170 4.0142 1.554 1.139 rp 160 58723.8580906 18.33235 0.013 0.025
cpt1m012-fa06-20190828-0089-e91 5.0170 4.0142 1.555 1.133 rp 159 58723.8602582 18.31230 0.013 0.028
cpt1m012-fa06-20190828-0090-e91 5.0170 4.0142 1.555 1.127 rp 159 58723.8624258 18.36950 0.015 0.040
cpt1m012-fa06-20190828-0106-e91 5.0170 4.0143 1.564 1.048 rp 159 58723.9114937 18.39740 0.013 0.042
cpt1m012-fa06-20190828-0107-e91 5.0170 4.0143 1.564 1.047 rp 159 58723.9136497 18.42375 0.013 0.037
cpt1m012-fa06-20190828-0108-e91 5.0170 4.0143 1.565 1.046 rp 159 58723.9158056 18.42070 0.012 0.046
cpt1m012-fa06-20190828-0132-e91 5.0168 4.0145 1.597 1.754 rp 159 58724.0926731 18.55430 0.017 0.056
cpt1m012-fa06-20190828-0133-e91 5.0168 4.0145 1.598 1.784 rp 159 58724.0948404 18.56130 0.017 0.049
cpt1m012-fa06-20190828-0134-e91 5.0168 4.0145 1.598 1.814 rp 159 58724.0970084 18.50465 0.016 0.043
lsc1m004-fa03-20190828-0181-e91 5.0168 4.0145 1.599 1.147 rp 159 58724.1059979 18.56020 0.015 0.038
lsc1m004-fa03-20190828-0182-e91 5.0168 4.0145 1.600 1.140 rp 159 58724.1081654 18.57440 0.015 0.041
lsc1m004-fa03-20190828-0183-e91 5.0168 4.0145 1.600 1.133 rp 159 58724.1103214 18.55770 0.015 0.031
elp1m008-fa05-20190828-0172-e91 5.0166 4.0149 1.646 1.710 rp 160 58724.3558643 18.38695 0.019 0.046
elp1m008-fa05-20190828-0173-e91 5.0166 4.0149 1.647 1.726 rp 159 58724.3580205 18.41630 0.018 0.042
elp1m008-fa05-20190828-0174-e91 5.0166 4.0149 1.647 1.743 rp 159 58724.3601766 18.37260 0.020 0.046
cpt1m013-fa14-20190829-0083-e91 5.0163 4.0155 1.727 1.475 rp 160 58724.7904034 18.29585 0.015 0.067
cpt1m013-fa14-20190829-0084-e91 5.0163 4.0155 1.727 1.458 rp 160 58724.7925593 18.32340 0.017 0.075
cpt1m013-fa14-20190829-0085-e91 5.0163 4.0155 1.728 1.440 rp 160 58724.7947154 18.31830 0.016 0.067
cpt1m012-fa06-20190829-0087-e91 5.0162 4.0157 1.750 1.048 rp 160 58724.9087409 18.57235 0.015 0.106
cpt1m012-fa06-20190829-0089-e91 5.0162 4.0157 1.750 1.045 rp 159 58724.9130529 18.62870 0.016 0.083
cpt1m010-fa16-20190829-0216-e91 5.0161 4.0160 1.784 1.705 rp 160 58725.0858827 18.47970 0.025 0.090
cpt1m010-fa16-20190829-0217-e91 5.0161 4.0160 1.784 1.733 rp 160 58725.0880387 18.56490 0.027 0.080
cpt1m010-fa16-20190829-0218-e91 5.0161 4.0160 1.784 1.761 rp 160 58725.0901911 18.57270 0.027 0.104
lsc1m004-fa03-20190830-0084-e91 5.0154 4.0177 1.968 1.441 rp 159 58726.0441784 18.50705 0.014 0.040
lsc1m004-fa03-20190830-0085-e91 5.0154 4.0177 1.968 1.424 rp 160 58726.0463418 18.49730 0.014 0.041
lsc1m004-fa03-20190830-0200-e91 5.0153 4.0181 2.017 1.304 rp 159 58726.2910291 18.47225 0.013 0.049
lsc1m004-fa03-20190830-0201-e91 5.0153 4.0181 2.017 1.316 rp 160 58726.2931822 18.51695 0.013 0.044
lsc1m004-fa03-20190830-0202-e91 5.0152 4.0181 2.018 1.330 rp 160 58726.2953490 18.53800 0.013 0.052
coj1m011-fa12-20190831-0253-e91 5.0150 4.0189 2.091 1.244 rp 159 58726.6669005 18.35740 0.014 0.033
coj1m011-fa12-20190831-0254-e91 5.0150 4.0189 2.091 1.254 rp 159 58726.6690657 18.42350 0.015 0.047
coj1m011-fa12-20190831-0255-e91 5.0150 4.0189 2.092 1.265 rp 159 58726.6712173 18.38290 0.014 0.043
cpt1m012-fa06-20190831-0060-e91 5.0149 4.0191 2.110 1.649 rp 159 58726.7664213 18.47485 0.015 0.043
cpt1m012-fa06-20190831-0061-e91 5.0149 4.0191 2.110 1.625 rp 159 58726.7685747 18.49120 0.016 0.046
cpt1m012-fa06-20190831-0062-e91 5.0149 4.0191 2.111 1.602 rp 159 58726.7707311 18.50545 0.016 0.046
cpt1m013-fa14-20190831-0092-e91 5.0149 4.0192 2.120 1.247 rp 160 58726.8198518 18.63570 0.021 0.072
cpt1m013-fa14-20190831-0093-e91 5.0149 4.0192 2.121 1.237 rp 160 58726.8220081 18.64480 0.020 0.070
cpt1m013-fa14-20190831-0094-e91 5.0149 4.0192 2.121 1.228 rp 160 58726.8241648 18.63590 0.021 0.070
cpt1m013-fa14-20190831-0170-e91 5.0148 4.0196 2.154 1.121 rp 160 58726.9863475 18.61620 0.016 0.066
cpt1m013-fa14-20190831-0171-e91 5.0147 4.0196 2.154 1.127 rp 160 58726.9885036 18.56830 0.016 0.071
cpt1m013-fa14-20190831-0172-e91 5.0147 4.0196 2.155 1.133 rp 160 58726.9906481 18.57820 0.016 0.058
lsc1m005-fa15-20190831-0105-e91 5.0147 4.0198 2.178 1.104 rp 160 58727.1115544 18.37660 0.013 0.063
lsc1m005-fa15-20190831-0106-e91 5.0147 4.0198 2.179 1.099 rp 159 58727.1137107 18.40565 0.014 0.069
lsc1m005-fa15-20190831-0107-e91 5.0147 4.0199 2.179 1.094 rp 159 58727.1158550 18.41515 0.013 0.059
lsc1m004-fa03-20190831-0081-e91 5.0146 4.0201 2.201 1.072 rp 159 58727.2224306 18.47770 0.013 0.035
lsc1m004-fa03-20190831-0082-e91 5.0146 4.0201 2.201 1.076 rp 159 58727.2245868 18.47860 0.012 0.042
lsc1m004-fa03-20190831-0083-e91 5.0146 4.0201 2.202 1.080 rp 159 58727.2267427 18.48480 0.012 0.040
lsc1m004-fa03-20190831-0087-e91 5.0146 4.0202 2.207 1.142 rp 159 58727.2510861 18.56945 0.014 0.038
lsc1m004-fa03-20190831-0088-e91 5.0146 4.0202 2.207 1.149 rp 160 58727.2532426 18.54725 0.014 0.036
lsc1m004-fa03-20190831-0089-e91 5.0146 4.0202 2.207 1.156 rp 159 58727.2553986 18.59825 0.014 0.032
coj1m011-fa12-20190901-0107-e91 5.0144 4.0208 2.263 1.047 rp 159 58727.5368295 18.45040 0.013 0.033
coj1m011-fa12-20190901-0108-e91 5.0144 4.0208 2.264 1.045 rp 159 58727.5389856 18.44700 0.013 0.031
coj1m011-fa12-20190901-0109-e91 5.0144 4.0208 2.264 1.044 rp 160 58727.5411532 18.43915 0.013 0.032
coj1m011-fa12-20190901-0197-e91 5.0142 4.0213 2.300 1.672 rp 159 58727.7191267 18.57240 0.015 0.030
coj1m011-fa12-20190901-0198-e91 5.0142 4.0213 2.300 1.698 rp 159 58727.7212829 18.57705 0.015 0.029
coj1m011-fa12-20190901-0199-e91 5.0142 4.0213 2.301 1.726 rp 159 58727.7234517 18.59400 0.015 0.030
cpt1m013-fa14-20190901-0067-e91 5.0142 4.0213 2.305 1.891 rp 160 58727.7455302 18.59710 0.029 0.119
cpt1m012-fa06-20190901-0073-e91 5.0142 4.0215 2.317 1.289 rp 159 58727.8084476 18.69570 0.015 0.065
cpt1m012-fa06-20190901-0074-e91 5.0142 4.0215 2.318 1.278 rp 159 58727.8106028 18.69910 0.015 0.086
cpt1m012-fa06-20190901-0075-e91 5.0142 4.0215 2.318 1.266 rp 159 58727.8127668 18.70820 0.014 0.080
cpt1m012-fa06-20190901-0076-e91 5.0141 4.0215 2.321 1.204 rp 159 58727.8265314 18.70840 0.015 0.068
cpt1m012-fa06-20190901-0077-e91 5.0141 4.0215 2.321 1.196 rp 160 58727.8286861 18.72405 0.015 0.063
cpt1m012-fa06-20190901-0078-e91 5.0141 4.0215 2.322 1.188 rp 159 58727.8308472 18.68895 0.015 0.066
cpt1m013-fa14-20190901-0131-e91 5.0141 4.0217 2.339 1.041 rp 160 58727.9143261 18.64190 0.016 0.043
cpt1m013-fa14-20190901-0145-e91 5.0141 4.0218 2.346 1.062 rp 160 58727.9518636 18.55290 0.015 0.044
cpt1m013-fa14-20190901-0146-e91 5.0141 4.0218 2.347 1.065 rp 160 58727.9540078 18.54250 0.014 0.055
cpt1m013-fa14-20190901-0147-e91 5.0141 4.0218 2.347 1.068 rp 160 58727.9561637 18.51850 0.014 0.054
cpt1m013-fa14-20190901-0189-e91 5.0140 4.0220 2.359 1.220 rp 160 58728.0126682 18.42405 0.014 0.047
cpt1m013-fa14-20190901-0190-e91 5.0140 4.0220 2.359 1.229 rp 160 58728.0148127 18.42830 0.014 0.045
cpt1m013-fa14-20190901-0191-e91 5.0140 4.0220 2.360 1.239 rp 160 58728.0169699 18.39940 0.013 0.043
cpt1m013-fa14-20190901-0213-e91 5.0140 4.0221 2.368 1.487 rp 160 58728.0558266 18.34600 0.014 0.033
cpt1m013-fa14-20190901-0214-e91 5.0140 4.0221 2.368 1.505 rp 160 58728.0579825 18.37500 0.014 0.035
cpt1m013-fa14-20190901-0215-e91 5.0140 4.0221 2.368 1.525 rp 160 58728.0601386 18.36440 0.014 0.031
cpt1m013-fa14-20190901-0226-e91 5.0140 4.0221 2.372 1.703 rp 160 58728.0766676 18.37565 0.016 0.032
cpt1m013-fa14-20190901-0227-e91 5.0140 4.0221 2.372 1.730 rp 160 58728.0788119 18.36410 0.017 0.036
cpt1m013-fa14-20190901-0228-e91 5.0140 4.0221 2.373 1.759 rp 160 58728.0809680 18.42105 0.020 0.043
lsc1m005-fa15-20190901-0011-e91 5.0138 4.0225 2.405 1.127 rp 159 58728.2432655 18.69180 0.014 0.042
lsc1m005-fa15-20190901-0012-e91 5.0138 4.0225 2.405 1.134 rp 159 58728.2454204 18.67520 0.014 0.042
lsc1m005-fa15-20190901-0013-e91 5.0138 4.0225 2.406 1.140 rp 159 58728.2475831 18.67420 0.015 0.037
lsc1m004-fa03-20190901-0409-e91 5.0138 4.0228 2.422 1.681 rp 159 58728.3289389 18.84080 0.020 0.047
lsc1m004-fa03-20190901-0410-e91 5.0138 4.0228 2.423 1.708 rp 159 58728.3310978 18.84180 0.020 0.048
elp1m008-fa05-20190901-0178-e91 5.0138 4.0228 2.425 1.677 rp 160 58728.3378816 18.80020 0.026 0.052
elp1m008-fa05-20190901-0180-e91 5.0138 4.0228 2.425 1.706 rp 160 58728.3421937 18.81060 0.042 0.065
coj1m011-fa12-20190902-0119-e91 5.0136 4.0234 2.470 1.036 rp 159 58728.5646921 18.44610 0.011 0.025
coj1m011-fa12-20190902-0120-e91 5.0136 4.0234 2.470 1.036 rp 159 58728.5668388 18.44760 0.012 0.028
coj1m011-fa12-20190902-0121-e91 5.0136 4.0234 2.470 1.037 rp 159 58728.5689973 18.46920 0.013 0.027
coj1m011-fa12-20190902-0167-e91 5.0135 4.0236 2.489 1.239 rp 159 58728.6599401 18.54660 0.013 0.030
coj1m011-fa12-20190902-0168-e91 5.0135 4.0236 2.490 1.250 rp 159 58728.6621076 18.54930 0.013 0.029
coj1m011-fa12-20190902-0169-e91 5.0135 4.0236 2.490 1.260 rp 159 58728.6642637 18.55360 0.013 0.026
coj1m011-fa12-20190902-0195-e91 5.0135 4.0237 2.498 1.520 rp 159 58728.7017638 18.66140 0.017 0.037
coj1m011-fa12-20190902-0196-e91 5.0135 4.0237 2.498 1.541 rp 159 58728.7039219 18.66060 0.017 0.029
coj1m011-fa12-20190902-0197-e91 5.0135 4.0238 2.498 1.562 rp 159 58728.7060801 18.65240 0.016 0.031
cpt1m013-fa14-20190902-0138-e91 5.0133 4.0244 2.548 1.065 rp 160 58728.9516288 18.45730 0.014 0.054
cpt1m013-fa14-20190902-0139-e91 5.0133 4.0244 2.548 1.068 rp 160 58728.9537933 18.45515 0.014 0.058
cpt1m013-fa14-20190902-0140-e91 5.0133 4.0244 2.549 1.071 rp 160 58728.9559546 18.46350 0.014 0.068
cpt1m012-fa06-20190902-0195-e91 5.0133 4.0247 2.567 1.447 rp 159 58729.0479877 18.38570 0.014 0.041
cpt1m010-fa16-20190902-0300-e91 5.0133 4.0247 2.567 1.448 rp 160 58729.0481493 18.36710 0.014 0.043
cpt1m012-fa06-20190902-0196-e91 5.0133 4.0247 2.568 1.464 rp 160 58729.0501403 18.37680 0.013 0.038
cpt1m010-fa16-20190902-0301-e91 5.0133 4.0247 2.568 1.465 rp 160 58729.0503016 18.39900 0.014 0.039
cpt1m012-fa06-20190902-0197-e91 5.0133 4.0247 2.568 1.482 rp 159 58729.0522987 18.40775 0.014 0.038
cpt1m010-fa16-20190902-0302-e91 5.0133 4.0247 2.568 1.483 rp 160 58729.0524529 18.39560 0.015 0.037
cpt1m012-fa06-20190902-0208-e91 5.0133 4.0247 2.571 1.580 rp 159 58729.0627650 18.40795 0.015 0.034
cpt1m010-fa16-20190902-0313-e91 5.0133 4.0247 2.571 1.580 rp 160 58729.0627870 18.42150 0.016 0.055
cpt1m012-fa06-20190902-0209-e91 5.0133 4.0247 2.571 1.602 rp 160 58729.0649210 18.40510 0.015 0.032
cpt1m010-fa16-20190902-0314-e91 5.0133 4.0247 2.571 1.603 rp 160 58729.0649356 18.42110 0.016 0.044
cpt1m012-fa06-20190902-0210-e91 5.0133 4.0247 2.571 1.626 rp 159 58729.0670838 18.38180 0.015 0.034
